id	commune_name	rate
5	Bertrange	0.022435153
9	Bissen	0.027821577
11	Boevange-sur-Attert	0.039215686
16	Colmar-Berg	0.023583245
18	Contern	0.023985891
32	Fischbach	0.025707384
39	Heffingen	0.033579639
40	Hesperange	0.01971719
50	Larochette	0.03303008
53	Lintgen	0.029448097
54	Lorentzweiler	0.02719888
55	Luxembourg	0.023182905
58	Mersch	0.023545188
64	Niederanven	0.023072731
65	Nommern	0.017525983
79	Sandweiler	0.017247303
84	Schuttrange	0.022587269
88	Steinsel	0.024220578
89	Strassen	0.016155089
92	Tuntange	0.02582728
100	Walferdange	0.021528918
101	Weiler-la-Tour	0.025553894